headline, date
The death penalty around the world ,14 Jul  2020 10:05pm
3 soldiers martyred in firing by terrorists in Balochistan's Panjgur: ISPR ,14 Jul  2020 09:40pm
FM Qureshi discharged from hospital after 10 days following Covid-19 treatment ,14 Jul  2020 08:25pm
US carries out the first federal execution in nearly 2 decades ,14 Jul  2020 07:51pm
Cable operators protest KE's 'stubbornness' by suspending TV  internet services in 5 cities in Sindh ,14 Jul  2020 09:36pm
As shoppers reduce visits to offline stores  DarazMall offers premium experience with genuine products ,14 Jul  2020 06:04pm
UK to purge Huawei from 5G by end of 2027  siding with Trump over China ,14 Jul  2020 10:40pm
Saba Qamar is outing the rishta brigade in new video ,14 Jul  2020 04:32pm
Senate human rights panel green-lights Zindagi Tamasha's release ,14 Jul  2020 03:51pm
UAE plans to launch Mars probe Friday after weather delay ,14 Jul  2020 02:16pm
US pushes Taliban to reduce violence as deal enters 'next phase' ,14 Jul  2020 04:54pm
Hadiqa Kiani collaborates with Turkish singer for a tribute to Kashmiri martyrs ,14 Jul  2020 01:31pm
Mystery as Argentine sailors infected with virus after 35 days at sea ,14 Jul  2020 01:11pm
SC sets aside SHC stay order  allows govt to take action against sugar mill owners ,14 Jul  2020 12:50pm
Google announces $10 billion ‘digitisation’ fund for India ,14 Jul  2020 12:33pm
Foreign workers struggle to return to UAE amid virus limbo ,15 Jul  2020 01:04pm
Who owns groundwater in water-stressed Pakistan? ,14 Jul  2020 05:14pm
Yasir Hussain questions Esra Bilgic as brand ambassador for Q mobile ,14 Jul  2020 10:00am
How did Uzair Jan become Sardar Uzair Baloch? ,14 Jul  2020 08:29am
A Hindu rashtra without ice ,14 Jul  2020 07:44am
Probe into minor bride’s death after autopsy report ,14 Jul  2020 10:28am
Women MPAs decry delay in legislation on child marriage  domestic violence ,14 Jul  2020 10:05am
Covid-19 kills more men than women in KP: report ,14 Jul  2020 10:20am
Five Islamabad sectors still considered hotspots for coronavirus ,14 Jul  2020 10:18am
Govt preparing SOPs for dine-in services: Babar Awan ,14 Jul  2020 10:13am
Infant in Attock diagnosed with poliovirus strain for which vaccinations halted in 2014 ,14 Jul  2020 10:09am
NCOC advice needed to open OPDs in capital  NA told ,14 Jul  2020 10:20am
M-11 deadly for road users in absence of police  law enforcement ,14 Jul  2020 10:07am
LHC seeks reply from NAB on PTI MPA’s plea ,14 Jul  2020 10:01am
Marriage hall owners in Lahore demand resumption of business ,14 Jul  2020 10:00am
Ensuring physical distancing: Only 100 MPAs to attend Punjab Assembly session tomorrow ,14 Jul  2020 09:51am
Toshakhana reference against Nawaz: Court notices displayed at Jati Umra  Model Town ,14 Jul  2020 09:48am
Karachi mayor orders completion of last year’s uplift projects on priority ,14 Jul  2020 09:59am
Vaccinators’ sit-in demands govt review pay scale  pay dues ,14 Jul  2020 10:01am
Federal ministers ask PPP chief to answer questions about corruption ,14 Jul  2020 09:51am
SHC dismisses bail plea of alleged gangster ,14 Jul  2020 09:56am
