,index,Date,Headline
0,0,2010-08-30,Unprecedented briefing planned by Taliban
1,1,2010-08-30,Economic decisions taken by cabinet ignored
2,2,2010-08-30,Crisis called Pakistan`s Katrina Kerry urges world to extend more help
3,3,2010-08-30,The unbearable lightness of Pakistan cricket
4,4,2010-08-30,Pakistan cricket dealt another hard blow
5,5,2010-08-30,Seven US troops  politician killed in Afghan attacks
6,6,2010-08-30,Dadu under stress
7,7,2010-08-30,Naval airbase  grid station hit Sujawal town goes under water
8,8,2010-08-31,Appropriate punishment if charges proved: ICC
9,9,2010-08-31,SC extends term of 32 Judges
10,10,2010-08-31,Sindh AG calls for scrapping of Objectives Resolution
11,11,2010-08-31,Absence of local govt felt in coping with crisis
12,12,2010-08-31,Govt decides to convene CCI meeting this week
13,13,2010-08-31,Town near Larkana under water; Thatta out of danger
14,14,2010-08-31,Govt likely to seek moratorium on IMF loan
15,15,2010-08-31,Boy shot dead
16,16,2010-08-31,India kills 9 `infiltrators`
17,17,2010-08-31,Appointment of ZTBL chief unlawful: LHC
18,18,2010-08-31,Floods inflict Rs4bn loss on Railways
19,19,2010-08-31,The `fake sheikh` who shook cricket
20,20,2010-08-31,ATC rejects Lakhvi`s bail plea
21,21,2010-08-31,IMF insists on tax  energy reforms
22,22,2010-09-01,3 arrested  grilled and bailed in cricket probe
23,23,2010-09-01,40 `militants` killed in Tirah
24,24,2010-09-01,Military officers cancel trip after humiliation at US airport
25,25,2010-09-01,Jati  Shah Bandar facing threat
26,26,2010-09-01,`PM`s role in judges` selection curtailed`
27,27,2010-09-01,Irrigation officials detained over canal cut spat
28,28,2010-09-01,Kerosene and diesel prices increased
29,29,2010-09-01,Proposal being discussed with IMF Flood tax on imports and income likely
30,30,2010-09-01,Afghan concern legitimate  says Petraeus
31,31,2010-09-01,Former DPO arrested in Sialkot case
32,32,2010-09-01,Official given Â£6 000 to join golf club
33,33,2010-09-01,Difficulties in living off others` generosity
34,34,2010-09-01,India raises flood donation offer to $25m
35,35,2010-09-01,MQM to table land reforms bill in parliament
36,36,2010-09-01,Flood relief funds PML-N gears up for battle in NA
37,37,2010-09-02,Khairpur Nathan Shah under threat
38,38,2010-09-02,Inflation spike  job losses feared Flood loss estimates rise to $43bn: PM $43bn: PM
39,39,2010-09-02,Lynched brothers were not criminals: inquiry
40,40,2010-09-02,20 held after attack in Karachi
41,41,2010-09-02,Religious procession attacked in Lahore Triple terror blasts leave 27 dead
42,42,2010-09-02,Four in run for post of Sindh chief secretary
43,43,2010-09-02,US blacklists Hakimullah
44,44,2010-09-02,US to utilise Iraq resources along Afghan border
45,45,2010-09-02,15 militants killed in Kurram air strikes
46,46,2010-09-02,Arrest politically motivated  says PML-N Nawaz`s brother-in-law held in cooperatives scam case
47,47,2010-09-02,Summit on gas project discussed with Turkmenistan
48,48,2010-09-02,KP to challenge flood damage figures of Punjab  Sindh
49,49,2010-09-02,SC thinks government doesn`t have `good` advisers
50,50,2010-09-02,Local govt minister Thaheem dies
51,51,2010-09-02,SC sends top NAB officials packing
52,52,2010-09-03,Single-dose malaria drug developed
53,53,2010-09-03,Malik against religious gatherings in the open
54,54,2010-09-03,Indus Highway closure paralyses upper Sindh: Floodwaters enter two more towns
55,55,2010-09-03,3 cricketers charged under ICC corruption code
56,56,2010-09-03,World Bank  IMF agree to give $550m
57,57,2010-09-03,US apologises for military officers` mistreatment
58,58,2010-09-03,Flow of aid has stalled  says UN
59,59,2010-09-03,Woman teacher shot dead
60,60,2010-09-03,Grief  anger mark NA session
61,61,2010-09-03,Deadline set for arrest of four Sialkot policemen
62,62,2010-09-03,Reserved seats: SC questions election process
63,63,2010-09-03,Aid requirement for critical needs goes unmet
64,64,2010-09-03,Trade preference sought from EU  US
65,65,2010-09-03,UN to step up relief work in Balochistan
66,66,2010-09-04,Six jailed in Portugal child abuse trial
67,67,2010-09-04,NA accord after discord — a boost to govt
68,68,2010-09-04,US renews support for democratic set-up
69,69,2010-09-04,Floods ravage K.N. Shah  threaten three towns
70,70,2010-09-04,Ahmedis attacked in Mardan
71,71,2010-09-04,Suicide bomber strikes Al Quds rally; at least 56 killed  160 injured Carnage in Quetta
72,72,2010-09-04,Driver killed  seven journalists injured
73,73,2010-09-04,TTP claims Quetta  Lahore attacks
74,74,2010-09-04,Plan to hike electricity tariff put off
75,75,2010-09-04,Flood loss worse than depicted: Mullen
76,76,2010-09-04,Drone strikes kill 10
77,77,2010-09-04,President didn`t comment on Altaf`s remarks: Babar Drone strikes kill 10
78,78,2010-09-04,Muslims told to use zakat for flood help
79,79,2010-09-04,Safe havens across the border a big problem: Gates
80,80,2010-09-04,FAO plans meeting on food prices
81,81,2010-09-04,Zardari wants foreign aid details placed on website
82,82,2010-09-04,CJ`s help sought against water shortage
83,83,2010-09-04,Worst corruption case since Cronje: ICC
84,84,2010-09-05,40 villages flooded near Dadu
85,85,2010-09-05,Judicial appointment process under fire
86,86,2010-09-05,Karzai forms body for talks with Taliban
87,87,2010-09-05,Quetta suicide attack toll rises to 65
88,88,2010-09-05,Gilani briefs NA on flood rehabilitation plan CCI to consider Nawaz proposal
89,89,2010-09-05,`Almost every match is fixed`  alleges Yasir
90,90,2010-09-05,Eight killed in drone attack
91,91,2010-09-05,MQM plans to move secretariat to Dubai
92,92,2010-09-05,Blackwater created shell companies  says NYT
93,93,2010-09-05,Militants stoking sectarianism
94,94,2010-09-05,2m children face measles  polio threat: Unicef
95,95,2010-09-05,Malik talks to Indian ambassador  minister India asked to help quicken Mumbai suspects` trial
96,96,2010-09-05,14 militants killed
97,97,2010-09-05,`German planned Europe attacks`
98,98,2010-09-05,Journalist kidnapped  tortured
99,99,2010-09-05,Shoes  eggs hurled at Blair in Ireland
100,100,2010-09-05,25 charged in Bahrain with anti-govt plot
101,101,2010-09-05,Gandhi`s grandson seeks world support for Pakistan
102,102,2010-09-06,Embankment around Johi under pressure
103,103,2010-09-06,Economy on the edge of precipice  says minister
104,104,2010-09-06,Wajid for life ban on cricketers found guilty
105,105,2010-09-06,Urban property  unaffected farmland to pay one-time cess: Tax proposed to cope with flood crisis
106,106,2010-09-06,India tests supersonic cruise missile
107,107,2010-09-06,Cheney was for remaking world after 9/11: Blair
108,108,2010-09-06,Suicide bomber kills five in Russia
109,109,2010-09-06,Chile miners complete one month under ground
110,110,2010-09-06,Besides floods  CCI may also discuss 18th Amendment
111,111,2010-09-06,ETA declares ceasefire in Basque
112,112,2010-09-06,Taliban vow to disrupt Afghanistan election
113,113,2010-09-06,74pc Afghans want talks with Taliban: poll
114,114,2010-09-06,Punjab`s losses increased 331pc in new FFC report
115,115,2010-09-07,Widening breaches inundate more villages
116,116,2010-09-07,Only president can sack me: NAB official
117,117,2010-09-07,Petraeus seeks 2 000 more troops for Afghanistan
118,118,2010-09-07,CCI to ensure transparent distribution of relief funds
119,119,2010-09-07,Schoolchildren among 19 killed in Lakki Marwat terror attack
120,120,2010-09-07,Shahid Kardar tipped as SBP governor
121,121,2010-09-07,Nawaz asks Gilani to implement verdicts
122,122,2010-09-07,Rabbani to appear before SC next week
123,123,2010-09-07,Four shot dead in Kashmir protests
124,124,2010-09-07,Raising money for infrastructure projects Zardari asks DFIs  finance companies to devise plan
125,125,2010-09-07,US  FoDP investments linked to reforms
126,126,2010-09-08,Gilani orders withdrawal of perks  privileges of NAB official
127,127,2010-09-08,Pakistan suffer record T20 low
128,128,2010-09-08,Lashkar-i-Jhangvi blamed for Quetta  Lahore blasts: Use of force only option to restore order in Balochistan  says Malik
129,129,2010-09-08,Dadu`s last defence threatened by breach
130,130,2010-09-08,IMF sets four criteria for $2.6bn loan tranches
131,131,2010-09-08,20 killed  90 injured in Kohat: Militants attack police families
132,132,2010-09-08,Singh defends moves to engage Pakistan
133,133,2010-09-08,Kamran Lashari gets top civil post in Sindh
134,134,2010-09-08,Munter `new US ambassador`
135,135,2010-09-08,Provinces oppose monthly power tariff hike
136,136,2010-09-09,...into men’s doubles final
137,137,2010-09-09,Re-engagement: Pakistan seeks concrete Indian steps
138,138,2010-09-09,Shahid Kardar new SBP governor
139,139,2010-09-09,Embankment breached to save Dadu  Johi
140,140,2010-09-09,5 Baloch militant outfits banned
141,141,2010-09-09,Inventive Aisam gifts good news to nation
142,142,2010-09-09,Three drone strikes in Waziristan; 18 killed
143,143,2010-09-09,S. Arabia  most Gulf states to celebrate Eid tomorrow
144,144,2010-09-09,Three TTP men held  claim police
145,145,2010-09-09,Vatican  world leaders assail plan to desecrate Quran
146,146,2010-09-09,Local bookies rake in cash on England match
147,147,2010-09-09,UN official wants aid efforts redoubled
148,148,2010-09-09,More rain forecast for Sindh  Kashmir
149,149,2010-09-09,Wheat export plan shelved
150,150,2010-09-09,PIA pilot to head CAA
151,151,2010-09-09,Politician  policeman killed in Hub blast
152,152,2010-09-09,Pakistan maintains pressure on militants  says US
153,153,2010-09-10,Eidul Fitr tomorrow  but in KP today
154,154,2010-09-10,Three towns face severe threat
155,155,2010-09-10,39 secretaries moved to Grade 22
156,156,2010-09-10,Balochistan minister escapes attack
157,157,2010-09-10,Aisam loses  but hopes pinned on today`s match
158,158,2010-09-10,PM trashes talk of revolution  army takeover
159,159,2010-09-10,Waseem Ahmed made FIA chief
160,160,2010-09-10,UN to seek $1.3bn for Pakistan
161,161,2010-09-10,Gen Majeed denies he`s seeking extension
162,162,2010-09-10,ME outraged bychurch plan
163,163,2010-09-10,Obama urges world to remember flood victims on Eid
164,164,2010-09-10,Desecration cancelled
165,165,2010-09-10,Efforts to scupper Florida pastor`s plan may succeed
166,166,2010-09-10,Kidnapped British journalist set free
