Date,Compound,Negative,Neutral,Positive
2010-08-30,-0.6369,0.112,0.856,0.032
2010-08-31,-0.9022,0.18,0.779,0.041
2010-09-01,-0.9552,0.214,0.738,0.048
2010-09-02,-0.969,0.24,0.688,0.072
2010-09-03,-0.5945,0.134,0.785,0.081
2010-09-04,-0.9924,0.348,0.598,0.054
2010-09-05,-0.8979,0.15,0.787,0.064
2010-09-06,-0.8316,0.121,0.842,0.037
2010-09-07,-0.8176,0.147,0.784,0.069
2010-09-08,-0.9081,0.22,0.653,0.127
2010-09-09,0.1531,0.09,0.814,0.096
2010-09-10,-0.8338,0.2,0.688,0.112
2010-09-11,0.9325,0.027,0.822,0.151
2010-09-12,0.7311,0.104,0.762,0.134
2010-09-13,0.9325,0.027,0.822,0.151
2010-09-14,-0.7506,0.188,0.7,0.112
2010-09-15,-0.5719,0.102,0.813,0.085
2010-09-16,-0.9231,0.158,0.735,0.107
2010-09-17,-0.5719,0.102,0.813,0.085
2010-09-23,-0.4767,0.119,0.844,0.037
2010-09-24,-0.4767,0.119,0.844,0.037
2010-09-25,-0.4767,0.119,0.844,0.037
2010-09-27,-0.5574,0.151,0.727,0.121
2010-09-28,0.1724,0.062,0.861,0.078
2010-09-29,-0.8442,0.124,0.834,0.042
2010-09-30,-0.7845,0.129,0.815,0.056
2010-10-01,-0.9652,0.258,0.719,0.022
2010-10-02,-0.9698,0.257,0.677,0.066
2010-10-03,-0.9776,0.286,0.714,0.0
2010-10-04,-0.9441,0.199,0.729,0.072
2010-10-05,-0.9144,0.204,0.649,0.148
2010-10-06,-0.4939,0.155,0.722,0.124
2010-10-07,0.9022,0.074,0.735,0.19
2010-10-08,-0.9643,0.228,0.758,0.014
2010-10-09,-0.9423,0.236,0.654,0.109
2010-10-10,-0.7845,0.149,0.803,0.048
2010-10-11,-0.5859,0.149,0.739,0.112
2010-10-12,-0.9274,0.136,0.826,0.038
2010-10-13,-0.9545,0.243,0.656,0.101
2010-10-14,-0.9432,0.177,0.792,0.031
2010-10-15,-0.4871,0.097,0.827,0.076
2010-10-16,-0.9451,0.21,0.744,0.045
2010-10-17,-0.9246,0.18,0.723,0.097
2010-10-18,-0.9109,0.23,0.687,0.082
2010-10-19,-0.9723,0.34,0.564,0.096
2010-10-20,-0.9704,0.234,0.685,0.081
2010-10-21,-0.5994,0.166,0.691,0.144
2010-10-22,-0.1779,0.12,0.749,0.131
2010-10-23,-0.9571,0.264,0.654,0.083
2010-10-24,-0.8519,0.118,0.858,0.023
2010-10-25,-0.6908,0.129,0.798,0.073
2010-10-26,-0.6908,0.13,0.81,0.06
2010-10-27,-0.7845,0.17,0.752,0.078
2010-10-28,-0.9382,0.216,0.669,0.115
2010-10-29,-0.9337,0.168,0.832,0.0
2010-10-30,-0.9773,0.242,0.664,0.094
2010-10-31,-0.936,0.181,0.819,0.0
2010-11-01,-0.9796,0.29,0.685,0.025
2010-11-02,-0.9437,0.173,0.776,0.051
2010-11-03,-0.8481,0.134,0.866,0.0
2010-11-04,0.0,0.053,0.884,0.064
2010-11-05,-0.8481,0.09,0.876,0.034
2010-11-06,-0.9796,0.262,0.65,0.088
2010-11-07,0.3612,0.099,0.778,0.123
2010-11-08,-0.872,0.156,0.747,0.096
