SCRIP, LDCP, OPEN, HIGH, LOW, CURRENT, CHANGE, VOLUME, 
Al-Ghazi Tractors Limited. , 358.53, 356.00, 356, 350, 352.51,   -6.02, 1 600, 
Atlas Honda Limited. , 392.00, 390.00, 392, 390, 392,   0, 200, 
Dewan Farooque Motors Limited [ DEFAULTER SEGMENT ], 6.09, 6.20, 6.2, 5.86, 5.99,   -.1, 436 000, 
Ghandhara Industries Ltd. , 143.88, 143.98, 154.67, 143.6, 154.67,   10.79, 2 037 900, 
Ghandhara Nissan Ltd. , 69.26, 69.30, 74.45, 69.3, 73.20,   3.94, 4 625 000, 
Ghani Automobile Industries Ltd. , 6.56, 6.65, 6.95, 6.55, 6.61,   .05, 2 431 500, 
Hino Pak Motor Limited. , 523.41, 539.99, 562.66, 539.99, 561.38,   37.97, 25 900, 
Honda Atlas Cars (Pak) Ltd.(XD) , 228.75, 228.00, 237.98, 227.44, 235.04,   6.29, 421 600, 
Indus Motor Company Ltd. , 1 220.51, 1225.00, 1287, 1225, 1256.47,   35.96, 39 600, 
Millat Tractors Limited. , 742.46, 741.00, 743, 700, 711.22,   -31.24, 25 850, 
Pak Suzuki Motors Co Ltd. , 187.16, 188.00, 195.9, 187.2, 193.55,   6.39, 1 423 900, 
Sazgar Engineering Works Ltd. , 133.28, 133.05, 135.99, 132.8, 134.54,   1.26, 1 185 200, 
Agriautos Industries Co. Ltd. , 182.69, 184.00, 189.9, 183, 185.10,   2.41, 20 300, 
Atlas Battery Ltd. , 179.54, 179.50, 189, 178, 187.21,   7.67, 118 500, 
Baluchistan Wheels Ltd. , 63.01, 60.21, 60.51, 60.21, 60.51,   -2.5, 1 500, 
Exide Pakistan Ltd. , 286.32, 288.90, 296, 287.05, 293.58,   7.26, 36 600, 
General Tyre & Rubber Co. , 63.17, 63.05, 65.39, 63, 64.52,   1.35, 763 500, 
Loads Limited. , 16.03, 16.10, 16.1, 15.7, 15.97,   -.06, 235 500, 
Thal Limited. , 329.53, 339.95, 339.95, 330.5, 333.13,   3.6, 8 800, 
Johnson & Philips (Pak) Ltd. [ DEFAULTER SEGMENT ], 41.49, 38.50, 38.5, 38.5, 38.50,   -2.99, 500, 
Pak Elektron Ltd. , 30.44, 30.60, 31.35, 30.25, 30.46,   .02, 27 109 000, 
Pakistan Cables Ltd. , 133.00, 129.25, 131, 128, 128.50,   -4.5, 6 000, 
WAVES Singer Pakistan Ltd. , 24.80, 25.40, 25.4, 24.25, 24.49,   -.31, 6 035 000, 
Attock Cement Pak Ltd. , 139.19, 138.00, 140.8, 134, 138.11,   -1.08, 48 700, 
Bestway Cement Limited. , 131.31, 131.01, 132.5, 129, 130.15,   -1.16, 51 400, 
Cherat Cement Co. Ltd. , 116.75, 116.90, 117.75, 114.51, 115.52,   -1.23, 1 173 000, 
D. G. Khan Cement Co. Ltd. , 101.33, 102.00, 104.1, 101.06, 102.75,   1.42, 6 991 500, 
Dewan Cement Limited. , 8.58, 8.60, 8.8, 8.51, 8.64,   .06, 1 687 000, 
Fauji Cement Co Ltd. , 18.56, 18.50, 18.7, 18.15, 18.39,   -.17, 2 717 500, 
Fecto Cement Ltd. , 24.29, 24.02, 24.49, 23.5, 23.53,   -.76, 79 000, 
Flying Cement Company Ltd. , 9.79, 9.62, 9.85, 9.6, 9.69,   -.1, 404 500, 
Gharibwal Cement Ltd. , 19.30, 19.06, 20, 19, 19.50,   .2, 323 000, 
Javedan Corporation Ltd. , 25.30, 25.25, 25.4, 25.25, 25.40,   .1, 8 500, 
Kohat Cement Co. Ltd. , 152.70, 152.99, 152.99, 148.24, 149.94,   -2.76, 108 100, 
Lucky Cement Limited. , 512.39, 513.99, 516, 508.51, 512.32,   -.07, 896 411, 
Maple Leaf Cement Factory Ltd. , 30.55, 30.75, 31.75, 30.28, 31.37,   .82, 33 169 000, 
Pioneer Cement Ltd. , 73.13, 72.85, 74.1, 72.05, 72.89,   -.24, 2 376 500, 
Power cement Limited , 6.82, 6.75, 6.93, 6.73, 6.77,   -.05, 3 469 500, 
Safe Mix Concrete Ltd. , 7.10, 7.49, 8.1, 7.48, 8.10,   1, 605 000, 
Thatta Cement Company Ltd. , 9.61, 9.70, 9.75, 9.6, 9.62,   .01, 64 500, 
Agritech Limited , 5.01, 5.04, 5.06, 4.9, 4.92,   -.09, 552 500, 
Akzo Nobel Pakistan Limited. , 270.00, 270.00, 270, 270, 270,   0, 50 517, 
Archroma Pakistan Limited. , 565.31, 565.01, 572, 565, 569.75,   4.44, 6 750, 
Bawany Air Products Ltd. [ DEFAULTER SEGMENT ], 22.73, 22.75, 22.9, 22, 22.80,   .07, 5 500, 
Berger Paints Pakistan Ltd. , 68.20, 68.20, 68.2, 66.3, 66.50,   -1.7, 12 000, 
Bifo Industries Ltd. , 145.47, 147.00, 156.38, 144.1, 156.38,   10.91, 156 900, 
Buxly Paints Ltd. , 44.50, 44.50, 45.5, 44.1, 44.28,   -.22, 4 000, 
