Date,Combined_News
2019-01-01,"Oppo to invest $146m to encourage app developers,Sabzwari takes charge as SECP chief,Market watch: Stocks surge over 900 points in first session of year,Firm owned by PM aide set to win Rs300b Mohmand Dam contract,World Cup host Qatar to introduce 100 per cent booze tax,The topsy-turvy ride of Pakistan?s business side, Will help create gaming, video and other forms of quality content,Sabzwari is an MBA in Finance with more than 25 years of professional experience in capital markets,Benchmark index increases 2.51% to settle at 37,995.77,Financial bid has been opened; decision on award of contract will be taken after evaluation,The issue of alcohol is likely to be a sensitive subject in the run-up to the World Cup in four years' time,The year started out with some hope but ended with uncertainty shrouding the entire scenario"
2019-01-02,"Oil falls to $53 on surging supply, economic worries,Market watch: Stocks fall 201 points as investors resort to profit-taking,US-China trade war takes toll on global manufacturing,Corporate Corner: JCR-VIS revises HBL?s rating outlook to stable,Inter-Bank Market: Rupee stable against dollar,Major progress likely in telecom sector ahead of 5G,Pak Suzuki Motor raises prices by up to Rs322,000,Atlas Honda plans to launch new 125cc bike,Govt vows to mobilise resources to boost exports,In 2018, Aviation industry experiences highs and lows,SBP lifts moratorium on advance payments,ECC approves supply of gas to fertiliser producers,PAC demands briefing on CPEC power projects, Russian production hits post-Soviet record; US output also touches peak,Benchmark index decreases 0.53% to settle at 37,795.25,Dec data mostly shows decline or slowdown in manufacturing activity across the globe,The previous rating action was announced on June 29, 2018,Cumulatively, the rupee has lost 31.8% of its value in the last 13 months,3G/ 4G subscribers crossed 60 million mark in 2018, rising 26.58%,Price revision made to pass impact of rupee?s fall on to consumers,Its price will be in the range of Rs140,000 to Rs145,000,Official assures businessmen of fast upgrade of roads in industrial areas,British Airways announces return after 10 years; SAI shuts down; PIA losses mount,Step taken to boost exports and generate economic activity,Puts off decision on giving exemption from PPRA rules for import of oil products from Azerbaijan,Shehbaz Sharif also asks Power Ministry to give in-camera briefing on Karkey case"
2019-01-03,"Govt seeks approval for nearly $1b polio eradication plan,New full body scanner installed at Peshawar airport,Foreign exchange: SBP reserves dip 2.28%, amount to $7.29b,Oil prices decline on oversupply, volatile markets,Market watch: Stocks continue to fall, lose 253 points,Minister directs NTDC to rectify fault swiftly in fog-prone areas,No-deal EU exit for Britain far more likely if parliament rejects May's deal,Connectivity to create opportunities, also widen gap,Govt to frame mineral policy on modern lines,Oil sales fall due to sluggish industrial output,Gas reserves: Vessels arrive for offshore drilling in Pakistan,Pakistan to get another $1b from Saudi Arabia this month,Mohmand dam?s groundbreaking on January 13,Indus Motor raises vehicle prices by up to Rs175,000,Inflation slows down for 2nd straight month, stands at 6.2%,Alleging favouritism: PPP invokes NAB in Rs300b Mohmand dam contract case,Sarmaya-e-Pakistan Limited: Instead of PM, private-sector expert to head firm?s board, CDWP discusses Rs47,732.5 million worth second revision of Nai Gaj Dam Project,CAA says new machine is expensive but totally harmless,Decline comes in wake of external debt servicing, other official payments,Global markets buffeted by 4.4% slump in US dollar against Japanese yen,Benchmark index decreases 0.67% to settle at 37,542.01,Gives directive for taking precautionary measures to avoid tripping,May is seeking extra reassurances from Brussels to help persuade sceptical lawmakers,FCCI chief asks regional states to frame policy for sustained growth,Planning commission organises consultative session at the Islamabad Chamber of Commerce and Industry ,Sales decreased 27% to 1.44m tons in December 2018,Govt exempts from duty ships, machinery for deep-sea drilling,Finance secretary says talks with China for financial assistance under way,Vawda dismisses any wrongdoing in the awarding of dam?s contract to a joint venture of CGGC-Descon,Revises rates in wake of high cost of imports and production,Pace eases on back of notable drop in vegetable, petroleum product prices,Bilawal-led party says award of Mohmand Dam?s contract to company owned by PM?s adviser, son conflict of interests,Law Division says PM, ministers can?t be board members as they hold public office"
2019-01-04,"Domestic cement sales fall for first time in 9 years,China-US trade talks spark rally in world markets,Tractor assembler warns of shutdown due to cash crunch,Market watch: KSE-100 remains flat amid volatile trading,China slashes banks' reserve requirements again as economy slows,US auto consumers tap the brakes, swerve away from small cars,Inter-Bank Market: Rupee weakens against dollar,Lifting Duties: ?Technology upgrade must for growth?ÿ,Facilitating Businesses: ?Govt working on national policy?,SAARC CCI chief calls for addressing core trade issues,freight trains: Train track at port discussed,Seed companies demand cut in turnover tax,OMCs may be required to invest Rs6b in infrastructure,NTDC directed to rectify faults swiftly in fog-prone areas,Kinnow exporters target two new markets this year,Currency dealers offer to bring $1b a month, Exports, however, surge 48% compared to 3.94% growth last year,Beijing, Washington will hold vice-ministerial level talks early next week,Seeks immediate release of tax refunds to utilise idle capacity,Benchmark index edges up 5.48 points to settle at 37,547.49,Latest support measures come amid mounting worries about health of the world's second-largest economy,Overall industry sales slightly above expectations, but slowdown expected in 2019,Cumulatively, the rupee has lost 31.8% of its value in the last 13 months,Govt should allow duty free import of technology: ICCI president,Special Assistant to CM K-P for Science and Information Technology says K-P govt in contact with all stakeholders,Ruwan Edirisinghe insists prosperity not possible without peace in region,Minister for Maritime Affairs Ali Zaidi assures stakeholders of shipping sector that their issues will be resolved ,FBR reviewing the tax but no decision has been taken yet,Condition is aimed at building adequate oil storages in country,Federal Minister for Power Omar Ayub Khan gives directive for taking precautionary measures to avoid tripping
,Federal Minister for National Food Security and Research expects exports to increase about 20% in current season,Ask finance minister to give rebate for attracting higher remittances"
2019-01-05,"Trump says China woes help US in trade talks, downplays Apple warning,Iran says despite US sanctions, it has found new ""potential"" oil buyers,US job creation rockets despite financial market slump,Week-On-Week: SPI decreases 0.31%,Govt restricts electronic goods import,Inter-Bank Market: Rupee stable against dollar,NTDC to install anti-fog insulators to prevent tripping,MDs of Sui gas companies held responsible for crisis,Pak Suzuki raises bike prices by up to Rs8,000,Saudi Arabia keen to invest in renewable energy in Pakistan,PM for turning Pak-Turkey ties into economic partnership,Govt borrows Rs1.43tr from central bank in six months,FATF set to review Pakistan case at Sydney,Pakistan hopes to secure $3.2b oil credit facility,K-P demands of Center Rs200b annual share, Hopes to make deal with China; US officials to arrive in Beijing next week for face-to-face talks,US withdrew from nuclear deal last year and snapped sanctions on Tehran,Unemployment rate ticked up by two tenths of a point to 3.9 per cent but mostly because the labor force grew,Although the SPI for the combined income group rose 5.53% compared to the corresponding week of previous year,Although the import of used computers and related accessories has been permitted,Loses 31.8% of its value in the last 13 months,Company has faced criticism following tripping of power plants and transmission lines,Petroleum Division secretary prepares, sends report to prime minister,Chinese bike-makers follow suit, increase prices by Rs1,000 to Rs3,000,Saudi adviser says investors are willing to come if they get strong signal from govt,Premier blames socialism for driving business out of Pakistan,State Bank prints new currency notes to finance govt expenditure,The meeting will review the progress made in achieving the targets,Measure needed to address balance of payments crisis,CM?s adviser says AGN Qazi formula should be used to determine the province?s share"
2019-01-06,"2nd World Islamic Economic and Finance Conference begins,Over 200 Pakistani firms to participate in German fair,Neelum-Jhelum to produce power at full capacity from April,Stocks end first week of 2019 with small gains,PIA saves Rs20m a month through austerity steps,Abu Dhabi likely to invest $1b in oil storages, pipeline, Under the aegis of Minhaj University Lahore,Heimtextil gives opportunity to win big orders, boost exports,Awaits complete inspection of electro-mechanical equipment,KSE-100 rises 380 points to settle at 37,547 as sentiments turn positive,Cuts official foreign tours, takes back 20 vehicles from staff,Crown prince is arriving today; total package for Pakistan may rise to $7.2b"
2019-01-07,"World Bank President Jim Yong Kim announces resignation,RLNG prices go down by over 10%,Major Wall Street players plan new exchange to challenge NYSE, Nasdaq,Assets worth $1tr to shift from UK to EU due to Brexit,China has ""good faith"" to fix trade issues as talks with US resume,Market watch: Stocks bounce back with 1,015-point surge on UAE assistance,Power companies can reduce T&D losses despite limitations,Real challenge is to bring home hi-tech industrial giants,Tax,tariff reforms more rewarding than other steps,Stagflation likely to hit Pakistan?s economy soon,Upcoming second mini-budget to be defining moment for economy, Decision comes three years before his current term is due to expire,Rate slashed to $11.038 per unit for SNGPL and $11.3726 for SSGC,New bourse will increase competition, improve operational transparency, simplify equity trading,EY consultancy says 80 firms are considering or have confirmed relocating assets and staff,US officials are meeting their counterparts in Beijing this week for first face-to-face talks,Benchmark index increases 2.7% to settle at 38,562.40,They need willingness from management, combination of carrot and stick from regulator,Investment from Gulf countries and China is a low hanging fruit,Country should levy flat income tax, eliminate advance tax at import stage
,Govt must improve economic management to avoid high inflation, low growth,Industrialists, investors awaiting announcement before shaping future plans"
2019-01-08,"CPEC to create 700,000 more jobs in Pakistan,Commercial Bank of Dubai to take control of Abraaj assets secured against loan,Microsoft to explore investment opportunities in Pakistan: Bill Gates,Govt bans import of furnace oil,Market watch: Stocks extend rally amid improved sentiments,World Bank chief's exit could give Trump lever over development lending,US, China hold more trade talks overshadowed by Kim visit,Rupee strengthens against dollar,Govt urged to fufil promise of gas supply to industry,Production of tractors comes to a halt,SSGC reports profit of Rs1.47 billion,IMF bailout: No adverse condition will be accepted: Suri,TRIC suggests 20% income tax for SME sector,Development spending slashed to Rs225.4 billion,PTI targets 7% growth by 2023,Govt borrows a whopping Rs2.24tr in just five months,Pakistan to focus more on supporting growth: Fitch,Crown prince?s visit: MoU finalised for Saudi Aramco oil refinery in Gwadar, According to Chinese Embassy documents, 75,000 Pakistanis have been provided job opportunities thus far ,Dubai-based equity firm collapsed last year following turmoil triggered by a row with investors,Billionaire expresses the desire in a letter penned to Prime Minister Imran Khan,Directs local refineries to keep furnace oil output at the minimum,Benchmark index rises 490.10 points to settle at 39,052.50,However, he will likely face many challenges if he wants an American in the post,Two sides meet face-to-face for the first time since tariff truce in December,Cumulatively, the rupee has lost 31.8% of its value in the last 13 months,APTMA regional chief says low gas pressure is equivalent to no gas at all,Parts? suppliers fear massive lay-offs,Reduction in development surcharge, gas losses and operating losses leads to turnaround,'If the IMF bailout is unavoidable, no anti-country condition will be accepted',Proposes simplified tax regime to bring the sector under tax net,Sanctioned amount is 32% lower than previous year, which can hurt growth,Proposed five-year plan aims at 5.8% average growth during government?s term,Overall debt increases to Rs26.5tr due to revenue shortfall, rupee depreciation,Research house believes central bank will not hike interest rate further,Signing of the deal is expected next month"
2019-01-09,"Govt to open ease of doing business offices,World Bank warns brewing trade storm jeopardises global economy,Market watch: Stocks fail to sustain gains as investors book profit,US-China trade talks conclude as hopes of deal build,Crude oil rises back to $60 per barrel,PM Imran sacks SSGC, SNGPL heads over gas crisis,Qatar Airways announces global sales promotion,FPCCI to hold investment conference,Rupee stable against dollar,ICCI criticises cut in development budget,Sri Lanka desires to take trade with Pakistan to $1 billion,Petroleum Division plans to revive gas pipeline projects,Gwadar?s status as a tax-free zone approved,SECP reports presence of Indians in Pakistani firm,No decision about fate of heads of gas utilities,8th JCC meeting: 'Missing paperwork' delays CPEC mass transit schemes,Power tariff reduced to boost exports,Pakistan adopts blockchain technology to attract remittances,Govt fails to meet deadline for steel mills? revival plan, These will remove obstacles, facilitate investors in business operations,Says global economy is going through difficult period as risks are rising,Benchmark index falls 130.81 points to settle at 38,921.69,Details of the meeting will be released soon,Price goes up after output cut, easing fears of weak demand growth,Information minister confirms news of removal after inquiry committee's report into the matter,This promotion is available for all Qatar airline flights booked from January 7-16 for travel till May 20, 2019,The objective of this conference would be to explore investment avenues in various sectors of the province,Cumulatively, the rupee has lost 31.8% of its value in the last 13 months,Moughal lauded the unique role played by PSDP in the growth of indigenous industry,Envoy airs hope Sialkot exporters will open businesses in island nation,Will seek ECC?s approval for laying Gwadar and North-South pipelines,Senate panel also gives green light to establish 300MW coal power plant in port city,Later, the company withdrew the nomination of two Indian nationals,Fact-finding report submitted to petroleum secretary,Pakistan side failed to complete paperwork on time for mega projects,Govt cuts electricity price by Rs3 per kWh, will pay the difference,With the technology, financial transactions will be instant, secure and documented,ECC puts off decision on abolishing duty, sales tax on cotton import"
2019-01-10,"Oil price falls 1% on indecisive US-China trade talks, rising stocks,Market watch: Stocks advance on FATF's satisfactory remarks about Pakistan,Foreign exchange: SBP reserves decline 3.28%, amount to $7.05b,Ford Europe to slash thousands of jobs in turnaround plan,Pakistan eager to boost fruit exportsÿ,Reviving Ailing Industry: PM aide seeks suggestionsÿ,Rupee stable against dollarÿÿ,Envoy seeks to boost market share of Sri Lankan tea to 20%,Canada to consider importing Pakistani mangoes, rice,Finance Ministry officials allegedly involved in file tampering,Pakistani firms receive good response at Heimtextil,Chinese automaker set to start production of buses, trucks,Mitsubishi?s energy subsidiary looking to invest in Pakistan,Upgrade of refineries unlikely in short run,World Bank to lend $100m for Sindh energy project, Morgan Stanley cuts 2019 oil price forecasts by more than 10%,Benchmark index increases 168.59 points to settle at 39,090.28,Drop comes in wake of external debt servicing, other official payments,Carmaker under pressure to restructure European operations after archrival GM raised profits ,The federal minister said Tajikistan must consider the import of Pakistani mangoes,We want recommendations and suggestions to improve our ailing industry, especially the SMEs, says   Dawood,Cumulatively, the rupee has lost 31.8% of its value in the last 13 months,High commissioner says sports can be utilised to enhance bilateral trade,Minister calls for enhanced collaboration in agriculture, boosting trade,File in question was being prepared to determine quantum of contingent liabilities,Large number of international buyers expresses interest in Pakistani products,Has invested $100m in partnership with Pakistani company,The delegation expressed confidence that Tabeer Energy would play an important role in meeting country's energy needs,Installation of hydrocracking units may take months or more than a year,Project is aimed at supporting independent power producers to develop 400MW of new solar power capacity"
