,Date,Compound,Negative,Neutral,Positive
0,2019-01-01,0.7227,0.022,0.892,0.086
1,2019-01-02,0.8645,0.035,0.883,0.082
2,2019-01-03,0.9034,0.064,0.844,0.093
3,2019-01-04,0.9666,0.059,0.827,0.114
4,2019-01-05,0.9542,0.042,0.838,0.12
5,2019-01-06,0.8519,0.0,0.912,0.088
6,2019-01-07,0.9152,0.048,0.838,0.113
7,2019-01-08,0.3691,0.119,0.763,0.118
8,2019-01-09,-0.3695,0.105,0.798,0.096
9,2019-01-10,0.9875,0.042,0.784,0.174
10,2019-01-11,-0.9464,0.125,0.806,0.068
11,2019-01-12,0.9624,0.038,0.857,0.105
12,2019-01-13,-0.8979,0.159,0.755,0.086
13,2019-01-14,0.807,0.092,0.767,0.142
14,2019-01-15,0.9714,0.035,0.831,0.134
15,2019-01-16,0.6249,0.08,0.83,0.09
16,2019-01-17,0.8426,0.07,0.829,0.101
17,2019-01-18,0.8088,0.074,0.825,0.102
18,2019-01-19,0.9755,0.042,0.836,0.122
19,2019-01-20,0.1027,0.096,0.783,0.122
20,2019-01-21,0.4124,0.055,0.87,0.075
21,2019-01-22,0.3348,0.092,0.819,0.09
22,2019-01-23,0.9587,0.043,0.854,0.102
23,2019-01-24,-0.5803,0.091,0.834,0.075
24,2019-01-25,0.9488,0.061,0.828,0.111
25,2019-01-26,0.897,0.055,0.842,0.103
26,2019-01-27,0.9586,0.033,0.794,0.172
27,2019-01-28,0.8537,0.069,0.815,0.116
28,2019-01-29,0.8823,0.082,0.806,0.112
29,2019-01-30,0.9351,0.039,0.868,0.094
30,2019-01-31,0.9794,0.049,0.824,0.127
31,2019-02-01,0.973,0.019,0.879,0.101
32,2019-02-02,0.9908,0.032,0.8,0.168
33,2019-02-03,0.296,0.086,0.822,0.092
34,2019-02-04,0.765,0.081,0.795,0.124
35,2019-02-05,-0.9246,0.134,0.793,0.073
36,2019-02-06,0.841,0.082,0.802,0.116
37,2019-02-07,0.9388,0.09,0.781,0.129
38,2019-02-08,0.9716,0.051,0.829,0.12
39,2019-02-09,0.34,0.042,0.906,0.051
40,2019-02-10,0.9074,0.056,0.832,0.112
41,2019-02-11,0.9517,0.0,0.864,0.136
42,2019-02-12,-0.9662,0.111,0.816,0.073
43,2019-02-13,0.9752,0.047,0.816,0.137
44,2019-02-14,-0.0926,0.093,0.821,0.087
45,2019-02-15,0.9593,0.05,0.813,0.138
46,2019-02-16,0.8957,0.068,0.807,0.125
47,2019-02-17,0.7028,0.081,0.807,0.112
48,2019-02-18,-0.4361,0.077,0.852,0.071
49,2019-02-19,0.8105,0.045,0.881,0.074
50,2019-02-20,0.9727,0.069,0.792,0.138
51,2019-02-21,0.9815,0.06,0.779,0.161
52,2019-02-22,-0.3959,0.135,0.736,0.129
53,2019-02-23,0.9619,0.035,0.812,0.153
54,2019-02-24,0.9618,0.014,0.835,0.151
55,2019-02-25,0.9293,0.052,0.807,0.142
56,2019-02-26,0.7013,0.101,0.778,0.122
57,2019-02-27,0.9715,0.033,0.848,0.119
58,2019-02-28,0.9163,0.063,0.826,0.111
59,2019-03-01,0.8334,0.066,0.843,0.091
60,2019-03-02,0.9111,0.048,0.811,0.141
61,2019-03-03,0.4939,0.049,0.874,0.076
62,2019-03-04,0.8555,0.071,0.812,0.117
63,2019-03-05,-0.9179,0.062,0.919,0.019
64,2019-03-06,0.8604,0.066,0.825,0.109
65,2019-03-07,0.8645,0.078,0.822,0.101
66,2019-03-08,0.8378,0.039,0.873,0.088
67,2019-03-09,-0.3109,0.069,0.875,0.056
68,2019-03-10,0.743,0.038,0.889,0.074
69,2019-03-11,0.6908,0.058,0.86,0.082
70,2019-03-12,0.8762,0.054,0.854,0.092
71,2019-03-13,0.9584,0.032,0.847,0.121
72,2019-03-14,0.8832,0.057,0.849,0.094
